Imagens,Nome,Descrição,Categorias,encontrado
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ARMARIO KIT BERGAMO SUSPENSO 2 PORTAS ESPELHO + PIA TP 63.5CM A.J RORATO.png?raw=true,ARMARIO KIT BERGAMO SUSPENSO 2 PORTAS ESPELHO + PIA TP 63.5CM A.J RORATO,"Com design elegante com pia de apoio, cores neutras, os armários da Linha Bérgamo se adequam ao ambiente e formam uma composição harmoniosa entre armário, pia e espelheiro. Sua pia de apoio em mármore sintético, além de prática e de fácil limpeza, possui formato arredondado se contrastando com as linhas retas e puras do armário, trazendo harmonia e sofisticação ao conjunto. ",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ARMARIO KIT FIRENZE SUSPENSO ESPELHO + PIA + LOUÇA NOGAL 63.5CM A.J RORATO.png?raw=true,ARMARIO KIT FIRENZE SUSPENSO ESPELHO + PIA + LOUÇA NOGAL 63.5CM A.J RORATO,"Com este conjunto você poderá juntar o útil ao agradável, com espaço para guardar seus utensílios. Além de deixar seu banheiro ainda mais bonito. ( O conjunto acompanha cuba/pia).",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ARMARIO KIT TREVISO COM PIA MÁRMORE QUINTO NOGAL 63.5CM A.J RORATO.png?raw=true,ARMARIO KIT TREVISO COM PIA MÁRMORE QUINTO NOGAL 63.5CM A.J RORATO,"O armário kit Treviso possui composição harmoniosa entre espelheiro e armário, com design estilo ripado que o deixa mais moderno e bonito além de prático, com sua gaveta interna que facilita na organização dos objetos, nicho inferior com ótimo espaço interno e porta de bascular com pistão a gás para uma abertura suave. Sua estrutura é 100% em MDP – BP amadeirado ou texturizado, e possui várias opções de tampo e cuba de sobrepor se adequando a todos os tipos de ambientes, e ao gosto do cliente. Comprimento 63.5 cm Altura 53.8 cm Largura 36 cm",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ARMARIO METALON 60.4X55CM COM ESPELHEIRA CIMENTO MGM.png?raw=true,ARMARIO METALON 60.4X55CM COM ESPELHEIRA CIMENTO MGM,"Possui espelheira com 1 prateleira e gabinete com 1 porta, puxador em ABS, estrutura 100% MDF, amplo espaço interno, lavatório 100% mármore sintético com mais durabilidade e resistência. Não acompanha torneira. Dimensões: - Gabinete: A:55cm L:60,4cm C:34,1cm - Espelheira: A:54,2cm L:39cm C:14,3",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ARMARIO SENSE 60CM TITANIUM/FREIJO MGM.png?raw=true,ARMARIO SENSE 60CM TITANIUM_FREIJO MGM,"Gabinete de Banheiro Sense 60cm Titanium/Freijo - MGM.
Cor: Titanium/Freijo
Fabricante: MGM
Altura (cm): 66,5
Largura (cm): 61,3
Linha: DECOR
Marca: MGM Móveis
Modelo: Sense
Estrutura: 100 % MDF
Acabamento: Pintura",Banheiro,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/ARMARIO VITTA 60CM METALON PISTACHE MGM.png?raw=true,ARMARIO VITTA 60CM METALON PISTACHE MGM,"O Gabinete Suspenso para Banheiro Vitta 67,9x61,3cm Pistache da MGM Móveis possui estrutura 100% em MDF, tem um amplo espaço interno. Seu lavatório é 100% mármore sintético com mais durabilidade e resistência. Seu design é inovador e sutil, combinando com diversos projetos. A MGM Móveis surgiu em abril de 2004, iniciado suas atividades em um pequeno galpão e com uma produção 100% artesanal. Hoje a MGM Móveis conta com uma moderna fábrica e produz cerca de 30 mil peças por mês, em material de qualidade e sempre buscando inovação e designs exclusivos. Seus produtos são fabricados 100% em MDF reflorestado, respeitando o meio ambiente e o desenvolvimento sustentável.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/BACIA COM CAIXA ACOPLADA IZY BRANCO DUAL FLUX DECA.png?raw=true,BACIA COM CAIXA ACOPLADA IZY BRANCO DUAL FLUX DECA,,Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/BACIA COM CAIXA ACOPLADA WAY BRANCA DUAL FLUX LORENZETTI.png?raw=true,BACIA COM CAIXA ACOPLADA WAY BRANCA DUAL FLUX LORENZETTI,,Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/BACIA COM CAIXA ACOPLADA ZIP BRANCA DUAL FLUX INCEPA.png?raw=true,BACIA COM CAIXA ACOPLADA ZIP BRANCA DUAL FLUX INCEPA,,Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO REDONDA 350MM BRANCO GELO DECA.png?raw=true,CUBA APOIO REDONDA 350MM BRANCO GELO DECA,,Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO RETANGULAR 35X31CM BRANCA NW DECA.png?raw=true,CUBA APOIO RETANGULAR 35X31CM BRANCA NW DECA,"A Cubas de apoio Retangular Deca oferece funcionalidade, resistência e beleza sem igual. Fundamental para complementar de forma sofisticada o ambiente, as cubas de apoio são adequadas tanto para espaços amplos como para ambientes menores, garantindo uma maior eficiência do espaço com graça e leveza. Possui deck com 3 furos apontados para possível utilização de torneiras, monocomandos e misturados de mesa. Produto possui aplicação que garante ao ambiente uma maior sofisticação e modernidade.",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO SOLO REDONDA BRANCA FOSCO JAPI.png?raw=true,CUBA APOIO SOLO REDONDA BRANCA FOSCO JAPI,"A peça possue borda fina e um relevo que a deixa delicada e elegante. O nome e as cores foram inspirados em elementos naturais, como sal, carvão, pedra e areia, alinhado ao conceito de volta ao natural que é uma forte tendência do momento.

",Banheiro,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO SOLO REDONDA CINZA FOSCO JAPI.png?raw=true,CUBA APOIO SOLO REDONDA CINZA FOSCO JAPI,"A peça possue borda fina e um relevo que a deixa delicada e elegante. O nome e as cores foram inspirados em elementos naturais, como sal, carvão, pedra e areia, alinhado ao conceito de volta ao natural que é uma forte tendência do momento.

",Banheiro,True
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BANHEIRO/CUBA APOIO VENEZA BRANCA 46X34X15,5CM JAPI.png?raw=true","CUBA APOIO VENEZA BRANCA 46X34X15,5CM JAPI","Cuba Apoio Retangular Louça 46cmx34,5cm Veneza Branca Japi Cor: Branco Acabamento: Esmaltado Diâmetro: 4.5 cm Quantidade de furos para torneira: 1 Peso: 8496 g A cuba Veneza, não só resolverá suas necessidades de higiene pessoal, além será um diferencial em seu banheiro e ajudará você a criar uma atmosfera agradável. Durável e fácil de usar Feita em cerâmica, este artefato oferece excelente qualidade e durabilidade, e também é uma oportunidade estética para decorar seu banheiro, ao qual trará personalida.",Banheiro,True
